The Mitchells vs. the Machines,2021,7.8,1h 53min,Comedy,Mike Rianda,Mike Rianda and Jeff Rowe,ENG,USA,Columbia Pictures,Abbi Jacobson,theMitchells
Crimson Peak,2015,6.5,1h 59min,Horror,Guillermo del Toro,Guillermo del Toro and Matthew Robbins,ENG,USA,Universal Pictures,Mia Wasikowska,crimsonPeak
Back to the Future,1985,8.8,1h 56min,Comedy,Robert Zemeckis,Robert Zemeckis and Bob Gale,ENG,USA,Universal Pictures,Michael J. Fox,backToTheFuture
The Pelican Brief,1993,6.6,2h 21min,Triller,Alan J. Pakula,Alan J.Pakula,ENG,USA,Warrner Bros.,Denzel Washington,thePelicanBrief
Rush,2013,8.1,2h 3min,Action,Ron Howard,Peter Morgan,ENG/GER,USA,Universal Pictures,Chris Hemsworth,rush
Notting Hill,1999,7.1,2h 4min,Comedy,Roger Michell,Richard Curtis,ENG,UK,PolyGram Filmed Entertainment,Julia Roberts,nottingHill
Brokeback Mountain,2005,7.7,2h 14min,Drama,Ang Lee, Larry McMurtry and Diana Ossana,ENG,CAN,River Road Entertainment,Heath Ledger,brokebackMountain
Training Day,2001,7.7,2h 2min,Action,Antoine Fuqua,David Ayer,ENG,USA,Warrner Bros.,Antoine Fuqua,trainingDay
Batman Begins,2005,8.2,2h 20min,Action,Christopher Nolan,Christopher Nolan and David S. Goyer,ENG,USA,Warrner Bros.,Christian Bale,batmanBegins
The Dark Knight,2008,9,2h 32min,Action,Christopher Nolan,Jonathan Nolan,ENG,USA,Warrner Bros.,Christian Bale,theDarkKnight
